date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:26:05	408744/408744	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Nov%202019%2022:26:05%20GMT	https://frooplootsjordan.wixsite.com/blink	C:/Users/Mypc/Desktop/sitenew/xd/frooplootsjordan.wixsite.com/blink.html	(from )
23:26:05	445/445	---M--	200	added ('OK')	text/plain	date:Thu,%2007%20Nov%202019%2022:26:06%20GMT	https://frooplootsjordan.wixsite.com/robots.txt		(from )
23:26:05	2934/2934	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2022:26:06%20GMT	https://frooplootsjordan.wixsite.com/sitemap.xml	C:/Users/Mypc/Desktop/sitenew/xd/frooplootsjordan.wixsite.com/sitemap.xml	(from https://frooplootsjordan.wixsite.com/blink)
23:26:06	2934/2934	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2022:26:07%20GMT	https://frooplootsjordan.wixsite.com/feed.xml	C:/Users/Mypc/Desktop/sitenew/xd/frooplootsjordan.wixsite.com/feed.xml	(from https://frooplootsjordan.wixsite.com/blink)
23:26:06	72170/72170	---M-Z	200	added ('OK')	application/javascript	etag:%22c9af8a10b26de38db0c63a58fa9596f7%22	https://browser.sentry-cdn.com/4.6.2/bundle.min.js	C:/Users/Mypc/Desktop/sitenew/xd/browser.sentry-cdn.com/4.6.2/bundle.min.js	(from https://frooplootsjordan.wixsite.com/blink)
23:26:07	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/Mypc/Desktop/sitenew/xd/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://frooplootsjordan.wixsite.com/blink)
23:26:07	14805/14805	---M-Z	200	added ('OK')	application/javascript	etag:W/%22456c02ee2a496580a24e5aee614ba9b3%22	https://static.parastorage.com/unpkg/whatwg-fetch@3.0.0/dist/fetch.umd.js	C:/Users/Mypc/Desktop/sitenew/xd/static.parastorage.com/unpkg/whatwg-fetch@3.0.0/dist/fetch.umd.js	(from https://frooplootsjordan.wixsite.com/blink)
23:26:07	94156/94156	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c80d9184a43519a9457fb97109e0112b%22	https://static.parastorage.com/services/wix-bolt/1.4109.0/bolt-main/app/bolt-custom-elements.min.js	C:/Users/Mypc/Desktop/sitenew/xd/static.parastorage.com/services/wix-bolt/1.4109.0/bolt-main/app/bolt-custom-elements.min.js	(from https://frooplootsjordan.wixsite.com/blink)
23:26:07	17493/17493	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218823f6a6d208ee1e361bb266ab794d5%22	https://static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js	C:/Users/Mypc/Desktop/sitenew/xd/static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js	(from https://frooplootsjordan.wixsite.com/blink)
23:26:08	1525/1525	---M--	200	added ('OK')	image/png	etag:%223c6917fb33e1253998115aa201c321c3%22	https://static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_out.png	C:/Users/Mypc/Desktop/sitenew/xd/static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_out.png	(from https://frooplootsjordan.wixsite.com/blink)
